2915, 0_1_0_BEDOELEN-IK, 1, val
3182, 0_2_0_HOED-C, C_spread, val
44074, 0_3_0_VRAGEN-C, B, val
2364, 0_1_0_AFHANKELIJK-D, 1, val
40213, 0_3_0_HART-D, B, val
653, 0_4_0_KOPEN-A, Money, val
49207, 0_1_0_BEURT, 1, val
167, 0_5_0_KOEK-A, Baby_C, val
4209, 0_6_0_CONGRES-B, C, val
4479, 0_1_0_PLASSEN-A, 1, val
411, 0_2_0_BALEN-C, C_spread, val
1289, 0_6_0_ERBIJ-B, C, val
873, 0_4_0_FILM, Money, val
2116, 0_2_0_ZON-A, C_spread, val
1010, 0_7_0_SOLIDAIR, S, val
3809, 0_3_0_#B, B, val
49033, 0_3_0_ALSTUBLIEFT-B, B, val
3296, 0_1_0_ROGGE, 1, val
37587, 0_8_0_BELOVEN-B, N, val
47880, 0_9_0_TRANSGENDER-A, V, val
1014, 0_7_0_TEMPO, S, val
1745, 0_8_0_CONTROLEREN-A, N, val
4393, 0_5_0_MAAT-VERTICAAL-A, Baby_C, val
188, 0_10_0_OPSTUREN-C, B_bent, val
44181, 0_11_0_AYKE-WALTHER, A, val
394, 0_7_0_IJS-A, S, val
1441, 0_10_0_HOOG, B_bent, val
257, 0_10_0_CONFECTIE, B_bent, val
980, 0_4_0_MICROFOON-A, Money, val
122, 0_12_0_HERHALEN-A, 1_curved, val
2965, 0_13_0_OKTOBER-B, O, val
3343, 0_1_0_MORGEN-C, 1, val
3696, 0_1_0_GELOVEN-B, 1, val
1442, 0_10_0_GROOT-VERTICAAL-F, B_bent, val
1037, 0_14_0_AARDBEI, T, val
974, 0_4_0_KAART-B, Money, val
845, 0_1_0_MORGEN-B, 1, test
46164, 0_1_0_JAM-C, 1, test
512, 0_4_0_START-A, Money, val
49055, 0_4_0_FRITUUR, Money, val
1868, 0_15_0_SCHRIJVEN-C, Baby_O, val
986, 0_8_0_MUIS-D, N, val
467, 0_16_0_BASKETBAL, 5, val
357, 0_8_0_OPGELUCHT-A, N, val
47393, 0_9_0_SCHOP-B, V, val
1356, 0_1_0_SNEL-A, 1, test
49215, 0_4_0_OEKRAINE-B, Money, test
1118, 0_1_0_PUNT-C, 1, test
1742, 0_5_0_NAAM-A, Baby_C, val
916, 0_4_0_LUKKEN, Money, test
4583, 0_17_0_KROATIE-A, 4, val
48712, 0_1_0_DARMEN-A, 1, test
2360, 0_3_0_PB, B, val
949, 0_9_0_BESTELLEN-B, V, val
22, 0_2_0_LEEUW-B, C_spread, val
1112, 0_4_0_OPSTOKEN, Money, test
2427, 0_17_0_40-A, 4, val
4026, 0_3_0_DOORSNIJDEN, B, val
40009, 0_6_0_CHIPS-D, C, val
1387, 0_3_0_GUYOT, B, val
964, 0_1_0_FOEI, 1, test
44049, 0_4_0_UITKERING, Money, test
3122, 0_14_0_NOEMEN, T, val
2653, 0_1_0_ALLEEN-B, 1, test
1055, 0_18_0_KERST-B, K, val
1479, 0_4_0_OPLEIDING, Money, test
47002, 0_19_0_OVERSTEKEN, V_curved, val
1886, 0_20_0_WEST-A, W, val
44054, 0_5_0_VUGHT-B, Baby_C, val
367, 0_8_0_KLEUR-B, N, val
46882, 0_11_0_DRUGS-A, A, val
2041, 0_3_0_PERIODE-B, B, test
2977, 0_20_0_SOMS-B, W, val
466, 0_7_0_BALEN-A, S, val
