Gloss,SHS,WHS,Handedness,Handshape-Change
10-A,5,5,2s,-1
10-B,5,5,2s,-1
14-C,4,5,2s,-1
15-C,5,5,2s,-1
16-C,A,5,2s,-1
1:OVERNEMEN-A,Beak_open,Beak_open,2s,Closing
AAN-DEZE-KANT-C,B,B,2s,-1
AANDACHT-A,B,B,2s,-1
AANHALINGSTEKENS-A,V,V,2s,Curving
AANKLEDEN-A,Money,Money,2s,-1
AANKLEDEN-B,5,5,2s,-1
AANVALLEN,5,5,2s,-1
ACCEPTEREN-A,Beak_open,Beak_open,2s,Closing
AFHANKELIJK-A,1_curved,1_curved,2s,-1
AFHANKELIJK-B,V_curved,V_curved,2s,Curving
AFTASTEN,5,5,2s,-1
AL,B,B,2s,-1
ALBANIE-A,B,B,2s,Bending
ALLEMAAL-A,5,5,2s,-1
ALLES-A,5,5,2s,-1
ALLES-B,5,5,2s,Closing
ALLES-C,5,5,2s,Closing
AMERIKA,5,5,2s,-1
AMSTERDAM,1,1,2s,-1
ANTENNE,T,T,2s,-1
APART-A,B,B,2s,-1
APART-C,C,C,2s,-1
APART-B,Baby_C,Baby_C,2s,-1
SCHEIDEN,A,A,2s,-1
APPARTEMENT-A,Money,Money,2s,-1
APPLAUS-A,B,B,2s,-1
APPLAUS-B,5,5,2s,-1
APRIL,B,B,2s,-1
ARMEN-OVER-ELKAAR,B,B,2s,-1
ASSISTENT,A,A,2s,-1
AUTISME-A,B,B,2s,-1
AUTO,S,S,2s,-1
AUTOBAAN-A,V,V,2s,-1
AUTOMATISCH-B,O,O,2s,Opening
AUTORIJDEN,S,S,2s,-1
AVOND-A,B,B,2s,-1
BAKKEBAARD,Baby_C,Baby_C,2s,-1
BAKKEN-B,B,B,2s,-1
BAKKEVEEN,B,B,2s,-1
BAL-A,C_spread,C_spread,2s,-1
BAL-B,B,B,2s,-1
BALANCEREN-B,B,B,2s,-1
BALI-C,B,B,2s,-1
BALIE-B,C,C,2s,-1
