HOLOCAUST-L, L, B
HOLOCAUST-R, R, B
KALENDER-A-R, R, B
KALENDER-A-L, L, B
VERDELEN-R, R, B
VERDELEN-L, L, B
OMKEREN-R, R, B
OMKEREN-L, L, B
KAARTEN-B-L, L, Beak_open
KAARTEN-B-R, R, Beak_open
PANNENKOEK-A-R, R, B
PANNENKOEK-A-L, L, B
VIS-B-R, R, B
VIS-B-L, L, B
OP-D-R, R, B
OP-D-L, L, B
VOOR-B-R, R, B
VOOR-B-L, L, B
BUNNIK-R, R, B
BUNNIK-L, L, B
OPPERVLAK-R, R, B
OPPERVLAK-L, L, B
TEGEN-AAN-LOPEN-C-R, R, B
TEGEN-AAN-LOPEN-C-L, L, B
BUENOS-AIRES-L, L, 1
BUENOS-AIRES-R, R, B
HUIS-GAAN-R, R, B
HUIS-GAAN-L, L, B
SLAPEN-C-R, R, B
SLAPEN-C-L, L, B
ONTWIKKELEN-D-R, R, B
ONTWIKKELEN-D-L, L, B
DAME-R, R, B
DAME-L, L, B
AFSTAND-B-R, R, B
AFSTAND-B-L, L, B
MODERN-C-L, L, B
MODERN-C-R, R, B
BIJ-B-R, R, B
BIJ-B-L, L, B
AF-C-R, R, B
AF-C-L, L, B
KAAS-A-R, R, B
KAAS-A-L, L, B
STEPPEN-B-R, R, B
STEPPEN-B-L, L, B
GROOT-VERTICAAL-C-R, R, B
GROOT-VERTICAAL-C-L, L, B
EGYPTE-C-R, R, B
EGYPTE-C-L, L, B
LEREN-B-R, R, B
LEREN-B-L, L, B
BRAM-SCHOEMAKER-B-R, R, B
BRAM-SCHOEMAKER-B-L, L, B
STOF-ROL-R, R, B
STOF-ROL-L, L, B
TOT-D-R, R, B
TOT-D-L, L, B
JAMAICA-R, R, B
JAMAICA-L, L, B
LIJST-C-R, R, B
LIJST-C-L, L, B
AUTOMATISCH-A-R, R, B
AUTOMATISCH-A-L, L, B
BLADEREN-R, R, B
BLADEREN-L, L, B
DJ-A-R, R, B
DJ-A-L, L, B
HUID-A-R, R, B
HUID-A-L, L, B
WORST-B-L, L, S
WORST-B-R, R, B
VLAG-A-R, R, B
VLAG-A-L, L, B
AARDPLAAT-R, R, B
AARDPLAAT-L, L, B
BIBLIOTHEEK-A-R, R, B
BIBLIOTHEEK-A-L, L, B
TEVREDEN-D-R, R, B
TEVREDEN-D-L, L, B
TE-LAAT-A-R, R, B
TE-LAAT-A-L, L, B
GELD-UITGEVEN-R, R, B
GELD-UITGEVEN-L, L, B
LIJM-A-R, R, B
LIJM-A-L, L, B
FILE-A-R, R, B
FILE-A-L, L, B
VAN-TOT-C-R, R, B
VAN-TOT-C-L, L, B
MSN-B-L, L, B
MSN-B-R, R, Beak_open
PSYCHOLOGIE-B-R, R, B
PSYCHOLOGIE-B-L, L, B
HALF-A-R, R, B
HALF-A-L, L, B
AF-D-R, R, B
AF-D-L, L, B
PLAKKEN-A-R, R, B
PLAKKEN-A-L, L, B
CHIPS-E-L, L, C
CHIPS-E-R, R, C
AFSPRAAK-F-R, R, B
AFSPRAAK-F-L, L, B
MALEN-R, R, B
MALEN-L, L, B
HOMO-A-R, R, B
HOMO-A-L, L, B
REGELS-A-R, R, B
REGELS-A-L, L, B
WACHTEN-B-R, R, B
WACHTEN-B-L, L, B
OP-NmG-R, R, B
OP-NmG-L, L, B
OVERLIJDEN-A-R, R, B
OVERLIJDEN-A-L, L, B
SCHAGEN-R, R, B
SCHAGEN-L, L, B
WOENSDAG-A-R, R, B
WOENSDAG-A-L, L, B
DOORGAAN-R, R, B
DOORGAAN-L, L, B
DEUR-A-R, R, B
DEUR-A-L, L, B
VOELEN-A-R, R, B
VOELEN-A-L, L, B
VIS-C-R, R, B
VIS-C-L, L, B
BEPPIE-VAN-DEN-BOGAERDE-R, R, B
BEPPIE-VAN-DEN-BOGAERDE-L, L, B
MAAT-VERTICAAL-C-R, R, B
MAAT-VERTICAAL-C-L, L, B
AFRONDEN-A-R, R, B
AFRONDEN-A-L, L, B
ZALTBOMMEL-L, L, B
ZALTBOMMEL-R, R, S
VERTREKKEN-R, R, B
VERTREKKEN-L, L, B
AVOCADO-C-R, R, B
AVOCADO-C-L, L, B
REGELMATIG-C-R, R, B
REGELMATIG-C-L, L, B
TUSSEN-B-R, R, B
TUSSEN-B-L, L, B
STOPPEN-R, R, B
STOPPEN-L, L, B
GENDER-L, L, 1
GENDER-R, R, B
VANAF-BEPAALD-TIJDSTIP-A-R, R, B
VANAF-BEPAALD-TIJDSTIP-A-L, L, B
APPARTEMENT-C-R, R, B
APPARTEMENT-C-L, L, B
RELEVANT-R, R, B
RELEVANT-L, L, B
AANKOMEN-R, R, B
AANKOMEN-L, L, B
OVERLAP-R, R, B
OVERLAP-L, L, B
MODEL-B-R, R, B
MODEL-B-L, L, B
HEUVEL-PL-R, R, B
HEUVEL-PL-L, L, B
STAPEL-A-R, R, B
STAPEL-A-L, L, B
ARUBA-B-R, R, B
ARUBA-B-L, L, B
METRO-B-R, R, B
METRO-B-L, L, B
DEEJAY-R, R, B
DEEJAY-L, L, B
DOCUMENT-L, L, B
DOCUMENT-R, R, B
KEBAB-A-R, R, B
KEBAB-A-L, L, B
VOORRAAD-R, R, B
VOORRAAD-L, L, B
VOGELKOOI-B-R, R, B
VOGELKOOI-B-L, L, B
NIET-C-R, R, B
NIET-C-L, L, B
UITDAGEN-C-L, L, S
UITDAGEN-C-R, R, B
BROOD-A-R, R, B
BROOD-A-L, L, B
DOOF-E-R, R, B
DOOF-E-L, L, B
ACHTERLOPEN-B-R, R, B
ACHTERLOPEN-B-L, L, B
PERIODE-A-R, R, B
PERIODE-A-L, L, B
FEIT-R, R, B
FEIT-L, L, B
INCLUSIEF-L, L, Beak_open
INCLUSIEF-R, R, Beak_open
AFRONDEN-B-R, R, B
AFRONDEN-B-L, L, B
BESTE-B-R, R, B
BESTE-B-L, L, B
HOMO-D-R, R, B
HOMO-D-L, L, B
ANDIJVIE-R, R, B
ANDIJVIE-L, L, B
BABY-R, R, B
BABY-L, L, B
VIJL-R, R, B
VIJL-L, L, B
HANDVORM-R, R, B
HANDVORM-L, L, B
GLAD-R, R, B
GLAD-L, L, B
LAATSTE-C-R, R, B
LAATSTE-C-L, L, B
TIME-OUT-A-R, R, B
TIME-OUT-A-L, L, B
TIJD-HEBBEN-L, L, B
TIJD-HEBBEN-R, R, S
ZALF-R, R, B
ZALF-L, L, B
ZWAAN-A-R, R, B
ZWAAN-A-L, L, B
HELPEN-B-R, R, B
HELPEN-B-L, L, B
MAAT-SAGITTAAL-C-R, R, B
MAAT-SAGITTAAL-C-L, L, B
LIMIET-R, R, B
LIMIET-L, L, B
GOED-B-R, R, B
GOED-B-L, L, B
PLAT-B-R, R, B
PLAT-B-L, L, B
VLAKBIJ-A-R, R, B
VLAKBIJ-A-L, L, B
AFBLIJVEN-R, R, B
AFBLIJVEN-L, L, B
PENSIOEN-B-R, R, B
PENSIOEN-B-L, L, B
PSYCHOLOGIE-A-R, R, B
PSYCHOLOGIE-A-L, L, B
