1, OUD-B-4, 44, Baby_C, R
1, GELD-23, 36, Money, R
1, PT-1hand-4107, 4, 1, R
1, COMPUTER-A-17, 3, C, L
1, PT-1hand:1-799, 4, 1, R
1, DAN-A-133, 4, 1, R
1, ECHT-B, 9, N, R
1, DUUR-1, 36, Money, R
1, PT-1hand:1-2347, 4, 1, R
1, DOOF-B-122, 9, N, L
1, 2-A-83, 19, V, L
1, PRATEN-A-93, 26, Beak_open, R
1, LIJKEN-OP-2, 26, Beak_open, L
1, ERG-E-2, 2, B, R
1, JONG-A-8, 2, B, R
1, MOETEN-A-91, 4, 1, L
1, 1-A-108, 4, 1, L
1, PT:up-4, 4, 1, R
1, LEUK-A-43, 16, Baby_beak_open, R
1, PERSOON-A-74, 44, Baby_C, R
1, PT-1hand:1-526, 4, 1, R
1, IDENTITEIT-1, 10, I, R
1, KIJKEN-A-41, 19, V, L
1, SORRY-A-1, 17, S, R
1, PT-1hand-2141, 4, 1, R
1, #M, 13, M, R
1, KLOPT-C-10, 22, 1_curved, L
1, HEBBEN-A-35, 2, B, R
1, VORIGE, 4, 1, R
1, OMDAT-A-4, 17, S, R
1, PT-1hand:1-2619, 4, 1, R
1, PT-1hand-1548, 4, 1, L
1, PT-1hand:1-1586, 4, 1, R
1, DAN-A-19, 4, 1, L
1, KLOPT-A-5, 11, K, R
1, PT-1hand-2872, 4, 1, L
1, MAN-A-59, 26, Beak_open, R
1, VOOR-D-27, 4, 1, R
1, PT-1hand-1563, 4, 1, L
1, PT-1hand-1509, 4, 1, L
1, PT-1hand-766, 4, 1, L
1, PT-1hand-1647, 4, 1, R
1, GEWOON-A-84, 4, 1, R
1, VANDAAR-A-5, 27, B_bent, R
1, OPNEMEN-A-3, 26, Beak_open, L
1, INDIVIDUEEL-2, 10, I, R
1, PT-1hand:1-714, 4, 1, R
1, PT-1hand-824, 4, 1, L
1, KRIJGEN-B-11, 2, B, L
1, KRACHT-2, 17, S, R
1, PT-1hand-4480, 4, 1, L
1, KIND-A-85, 2, B, R
1, PT-1hand-1522, 4, 1, R
1, KUNNEN-A-91, 17, S, R
1, PT-1hand-3383, 4, 1, R
1, PT:down-75, 4, 1, L
1, GOED-A-364, 1, A, R
1, PT-1hand-3691, 4, 1, R
1, VOOR-D-19, 4, 1, R
1, 1-A-3, 4, 1, R
1, GOED-A-107, 1, A, L
1, KLOPT-A-60, 11, K, L
1, BOER, 1, A, R
1, PT-1hand:1-1029, 4, 1, L
1, SLAAN-B-15, 2, B, L
1, KIJKEN-A-100, 19, V, L
1, GROMMEN-9, 37, C_spread, R
1, KUNNEN-A-343, 17, S, L
1, VROEGER-B-3, 2, B, R
1, PERSOON-A-42, 44, Baby_C, L
1, KLOPT-A-39, 11, K, R
1, FILMEN-A-12, 12, L, R
1, RIJK-E-1, 37, C_spread, R
1, PT-1hand-1612, 4, 1, R
1, EERST-2, 4, 1, L
1, PT-1hand-1283, 4, 1, L
1, HOREN-B-8, 19, V, R
1, BESTEMPELEN-C-5, 9, N, R
1, PT-1hand:1-1415, 4, 1, L
1, BEDANKEN-C-3, 9, N, L
1, PT-1hand:1-694, 4, 1, R
1, KUNNEN-A-12, 17, S, R
1, HEBBEN-A-64, 2, B, L
1, IETS-A-2, 36, Money, R
1, PT-1hand-1802, 4, 1, R
1, KOMEN-A-133, 4, 1, R
1, PT-1hand:1-2022, 4, 1, R
1, PT-1hand-4717, 4, 1, R
1, VINDEN-A-5, 2, B, L
1, KUNNEN-A-44, 17, S, R
1, STONED-1, 4, 1, R
1, PT-1hand-2714, 4, 1, R
1, PT-1hand-3001, 4, 1, R
1, HOREN-A-50, 4, 1, L
1, PT-1hand:1-981, 4, 1, L
1, JAMMER-B-3, 17, S, L
1, PT-1hand-34, 4, 1, R
1, PT-1hand-2483, 4, 1, R
1, PERSOON-A-24, 44, Baby_C, R
1, NEE-B-7, 25, 5, R
1, PAKKEN-A-11, 25, 5, L
1, PT-1hand-5060, 4, 1, L
1, PT-1hand:1-2233, 4, 1, R
1, BEDOELEN-11, 4, 1, L
1, VROUW-A-13, 16, Baby_beak_open, L
1, PT-1hand:1-2206, 4, 1, L
1, 100-A-15, 26, Beak_open, R
1, DOOF-A-207, 4, 1, R
