2a, OBJECTIEF-1, 41, V_curved, L
2a, OBJECTIEF-1, 41, V_curved, R
2a, SCHRIJVEN-B-22, 2, B, L
2a, SCHRIJVEN-B-22, 2, B, R
2a, OVER-A-43, 38, B_curved, L
2a, OVER-A-43, 38, B_curved, R
2a, GEBRUIKEN-A-10, 2, B, L
2a, GEBRUIKEN-A-10, 9, N, R
2a, BETALEN-8, 2, B, L
2a, BETALEN-8, 1, A, R
2a, PT:wijs-3, 4, 1, L
2a, PT:wijs-3, 25, 5, R
2a, PT:ring-20, 25, 5, L
2a, PT:ring-20, 4, 1, R
2a, PT:wijs-44, 4, 1, L
2a, PT:wijs-44, 4, 1, R
2a, HOMO-B-1, 2, B, L
2a, HOMO-B-1, 1, A, R
2a, BALLET-A, 2, B, L
2a, BALLET-A, 19, V, R
2a, ENZOVOORTS-C-9, 30, 4, L
2a, ENZOVOORTS-C-9, 25, 5, R
2a, ZALTBOMMEL, 2, B, L
2a, ZALTBOMMEL, 17, S, R
2a, JAGEN-B-1, 12, L, L
2a, JAGEN-B-1, 12, L, R
2a, PT:wijs-2, 4, 1, L
2a, PT:wijs-2, 4, 1, R
2a, PT:ring-16, 4, 1, L
2a, PT:ring-16, 4, 1, R
2a, SCHILDPAD-A-6, 38, B_curved, L
2a, SCHILDPAD-A-6, 1, A, R
2a, PT:wijs-8, 4, 1, L
2a, PT:wijs-8, 4, 1, R
2a, PT:wijs-50, 4, 1, L
2a, PT:wijs-50, 4, 1, R
2a, PT:ring-3, 25, 5, L
2a, PT:ring-3, 4, 1, R
2a, GEBRUIKEN-A-24, 2, B, L
2a, GEBRUIKEN-A-24, 9, N, R
2a, ENZOVOORTS-A-8, 4, 1, L
2a, ENZOVOORTS-A-8, 4, 1, R
2a, SCHILDPAD-A-4, 1, A, L
2a, SCHILDPAD-A-4, 38, B_curved, R
2a, SCHILDPAD-A-27, 1, A, L
2a, SCHILDPAD-A-27, 38, B_curved, R
2a, SCHRIJVEN-D-18, 2, B, L
2a, SCHRIJVEN-D-18, 24, Baby_O, R
2a, BOOM-A-5, 25, 5, L
2a, BOOM-A-5, 2, B, R
2a, POEP-C, 1, A, L
2a, POEP-C, 1, A, R
2a, OVER-A-5, 38, B_curved, L
2a, OVER-A-5, 38, B_curved, R
