Jose3
Frame,ARIEL<T-X>,ARIEL<T-Y>,ARIEL<T-Z>,LFHD<T-X>,LFHD<T-Y>,LFHD<T-Z>,LBHD<T-X>,LBHD<T-Y>,LBHD<T-Z>,RFHD<T-X>,RFHD<T-Y>,RFHD<T-Z>,RBHD<T-X>,RBHD<T-Y>,RBHD<T-Z>,C7<T-X>,C7<T-Y>,C7<T-Z>,T10<T-X>,T10<T-Y>,T10<T-Z>,CLAV<T-X>,CLAV<T-Y>,CLAV<T-Z>,STRN<T-X>,STRN<T-Y>,STRN<T-Z>,LFSH<T-X>,LFSH<T-Y>,LFSH<T-Z>,LBSH<T-X>,LBSH<T-Y>,LBSH<T-Z>,LUPA<T-X>,LUPA<T-Y>,LUPA<T-Z>,LELB<T-X>,LELB<T-Y>,LELB<T-Z>,LIEL<T-X>,LIEL<T-Y>,LIEL<T-Z>,LFRM<T-X>,LFRM<T-Y>,LFRM<T-Z>,LIWR<T-X>,LIWR<T-Y>,LIWR<T-Z>,LOWR<T-X>,LOWR<T-Y>,LOWR<T-Z>,LIHAND<T-X>,LIHAND<T-Y>,LIHAND<T-Z>,LOHAND<T-X>,LOHAND<T-Y>,LOHAND<T-Z>,LTHM3<T-X>,LTHM3<T-Y>,LTHM3<T-Z>,LTHM6<T-X>,LTHM6<T-Y>,LTHM6<T-Z>,LIDX3<T-X>,LIDX3<T-Y>,LIDX3<T-Z>,LIDX6<T-X>,LIDX6<T-Y>,LIDX6<T-Z>,LMID0<T-X>,LMID0<T-Y>,LMID0<T-Z>,LMID6<T-X>,LMID6<T-Y>,LMID6<T-Z>,LRNG3<T-X>,LRNG3<T-Y>,LRNG3<T-Z>,LRNG6<T-X>,LRNG6<T-Y>,LRNG6<T-Z>,LPNK3<T-X>,LPNK3<T-Y>,LPNK3<T-Z>,LPNK6<T-X>,LPNK6<T-Y>,LPNK6<T-Z>,RFSH<T-X>,RFSH<T-Y>,RFSH<T-Z>,RBSH<T-X>,RBSH<T-Y>,RBSH<T-Z>,RUPA<T-X>,RUPA<T-Y>,RUPA<T-Z>,RELB<T-X>,RELB<T-Y>,RELB<T-Z>,RIEL<T-X>,RIEL<T-Y>,RIEL<T-Z>,RFRM<T-X>,RFRM<T-Y>,RFRM<T-Z>,RIWR<T-X>,RIWR<T-Y>,RIWR<T-Z>,ROWR<T-X>,ROWR<T-Y>,ROWR<T-Z>,RIHAND<T-X>,RIHAND<T-Y>,RIHAND<T-Z>,ROHAND<T-X>,ROHAND<T-Y>,ROHAND<T-Z>,RTHM3<T-X>,RTHM3<T-Y>,RTHM3<T-Z>,RTHM6<T-X>,RTHM6<T-Y>,RTHM6<T-Z>,RIDX3<T-X>,RIDX3<T-Y>,RIDX3<T-Z>,RIDX6<T-X>,RIDX6<T-Y>,RIDX6<T-Z>,RMID0<T-X>,RMID0<T-Y>,RMID0<T-Z>,RMID6<T-X>,RMID6<T-Y>,RMID6<T-Z>,RRNG3<T-X>,RRNG3<T-Y>,RRNG3<T-Z>,RRNG6<T-X>,RRNG6<T-Y>,RRNG6<T-Z>,RPNK3<T-X>,RPNK3<T-Y>,RPNK3<T-Z>,RPNK6<T-X>,RPNK6<T-Y>,RPNK6<T-Z>,LFWT<T-X>,LFWT<T-Y>,LFWT<T-Z>,MFWT<T-X>,MFWT<T-Y>,MFWT<T-Z>,RFWT<T-X>,RFWT<T-Y>,RFWT<T-Z>,LBWT<T-X>,LBWT<T-Y>,LBWT<T-Z>,MBWT<T-X>,MBWT<T-Y>,MBWT<T-Z>,RBWT<T-X>,RBWT<T-Y>,RBWT<T-Z>,LTHI<T-X>,LTHI<T-Y>,LTHI<T-Z>,LKNE<T-X>,LKNE<T-Y>,LKNE<T-Z>,LKNI<T-X>,LKNI<T-Y>,LKNI<T-Z>,LSHN<T-X>,LSHN<T-Y>,LSHN<T-Z>,LANK<T-X>,LANK<T-Y>,LANK<T-Z>,LHEL<T-X>,LHEL<T-Y>,LHEL<T-Z>,LMT5<T-X>,LMT5<T-Y>,LMT5<T-Z>,LMT1<T-X>,LMT1<T-Y>,LMT1<T-Z>,LTOE<T-X>,LTOE<T-Y>,LTOE<T-Z>,RTHI<T-X>,RTHI<T-Y>,RTHI<T-Z>,RKNE<T-X>,RKNE<T-Y>,RKNE<T-Z>,RKNI<T-X>,RKNI<T-Y>,RKNI<T-Z>,RSHN<T-X>,RSHN<T-Y>,RSHN<T-Z>,RANK<T-X>,RANK<T-Y>,RANK<T-Z>,RHEL<T-X>,RHEL<T-Y>,RHEL<T-Z>,RMT5<T-X>,RMT5<T-Y>,RMT5<T-Z>,RMT1<T-X>,RMT1<T-Y>,RMT1<T-Z>,RTOE<T-X>,RTOE<T-Y>,RTOE<T-Z>,
1,99.081956,194.389942,1784.400143,180.534415,122.960843,1705.170557,182.328601,247.990036,1673.634697,27.808259,123.430419,1694.096126,28.835605,261.699733,1672.533863,105.781193,341.924320,1495.767488,94.163931,392.883254,1328.334695,116.516279,165.071704,1391.571327,114.012352,144.995897,1245.192282,245.415590,192.130061,1432.417014,251.428877,347.668549,1464.886931,345.229743,270.965280,1412.773838,385.058433,297.622215,1127.488064,276.977942,316.559766,1124.076680,366.851178,318.909791,1011.013202,344.008674,193.166598,929.067100,387.976402,271.149697,916.047897,370.001922,177.264879,859.357814,398.722301,231.509629,854.072482,320.721763,176.612694,824.080900,316.795561,176.820924,796.447944,351.227881,175.535304,768.921835,340.157779,182.367183,747.267467,376.736905,192.741728,794.283070,335.250665,210.506568,747.799763,363.078708,222.374941,771.326431,332.406712,230.037574,761.085184,372.250647,240.560275,780.776370,351.419583,243.709934,767.789447,-21.166671,167.268585,1426.854382,-38.834992,332.769811,1454.931675,-127.713813,232.114033,1410.120016,-181.887936,264.938761,1154.389262,-85.916834,318.590276,1133.371644,-189.918237,224.180920,1018.818656,-143.730723,161.670828,948.603351,-191.525734,216.164756,922.601786,-161.247114,132.158550,881.412286,-189.942485,190.547544,866.990739,-110.487916,121.919924,846.098984,-103.958206,116.667711,816.497908,-135.158855,116.118869,785.643441,-114.798431,126.767995,769.423463,-163.013813,138.089615,802.853845,-107.451995,162.877792,799.234346,-132.841582,168.853397,796.225446,-112.743707,177.543103,817.469354,-143.232540,187.789847,792.532684,-119.030801,192.369281,797.188297,270.586868,226.269532,964.816900,107.033831,110.444433,982.514830,-82.762756,174.356483,984.243909,236.955537,359.770181,973.489313,71.163170,402.792355,980.356931,-76.033632,319.431667,976.679488,256.488300,283.652202,731.689286,229.428324,255.975461,518.755232,69.937800,253.975975,521.984064,212.856648,280.863618,351.924209,152.163650,319.139967,112.071388,72.161602,388.944009,53.811529,197.623573,234.432733,37.433327,65.536232,198.934347,40.201423,139.741551,90.662004,40.472709,-23.559170,78.868294,741.368536,-26.162695,78.595495,564.894727,111.115455,159.706000,545.697740,-35.390797,81.690988,370.732033,-10.296136,93.285101,140.485895,20.007933,189.940892,74.975083,26.418925,-40.597448,64.649593,144.306386,16.534898,61.375508,139.936427,-87.088578,82.169261,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,98.696038,195.668830,1784.572512,180.138126,124.035433,1705.517263,181.910468,248.967772,1673.677800,27.413597,124.495104,1694.452297,28.467422,262.690857,1672.540470,105.504407,342.360311,1495.722428,93.968331,393.250188,1328.267218,116.128074,165.450166,1391.572363,113.669124,145.300139,1245.205916,245.011088,192.420759,1432.418982,251.177892,347.934601,1464.850691,344.999159,271.033423,1412.771280,384.820342,297.521933,1127.449331,276.774313,316.664070,1124.040711,366.663211,318.941109,1011.042863,343.578789,193.165704,929.010453,387.711140,271.059560,916.004458,369.537840,177.215819,859.299600,398.293347,231.453095,853.998580,320.235521,176.694986,824.034633,316.366401,176.916222,796.401473,350.763832,175.529680,768.885976,339.670789,182.383620,747.210121,376.303385,192.679841,794.226492,334.837768,210.490220,747.827923,362.396299,222.413136,771.272025,333.008132,230.273928,760.776910,371.901177,240.512215,780.734696,351.228244,243.634281,767.831318,-21.558340,167.758331,1426.816737,-39.130735,333.272978,1454.842083,-128.047835,232.663631,1410.028401,-182.194630,265.406620,1154.256329,-86.099081,318.867615,1133.177123,-190.217821,224.656015,1018.697342,-144.198254,162.015907,948.499712,-191.660252,216.720967,922.439614,-161.784491,132.509926,881.349741,-190.332490,190.968187,866.892982,-111.073809,122.122584,846.035940,-104.553571,116.758010,816.422226,-135.742455,116.319960,785.586488,-115.359749,126.906848,769.348937,-163.551152,138.391460,802.795031,-107.879536,162.969358,799.356292,-133.306748,169.037462,796.195805,-113.227140,177.623042,817.299887,-143.639694,188.011743,792.424241,-119.417423,192.507736,797.065501,270.316307,226.602753,964.739748,106.756468,110.682373,982.495456,-83.028559,174.687848,984.208257,236.824636,359.919416,973.454343,71.064619,403.057404,980.301101,-76.203779,319.780899,976.665747,256.427992,283.950667,731.711085,229.390522,256.338234,518.742774,69.876423,254.380638,521.941725,212.842363,281.119661,351.923946,152.168448,319.206554,112.037722,72.172614,388.958017,53.781316,197.629100,234.450535,37.427220,65.546848,198.968202,40.124523,139.729043,90.679509,40.467219,-24.152242,79.274684,741.245988,-26.944018,79.208612,564.754198,110.347986,160.279852,545.471589,-36.477951,82.638791,370.678485,-11.786001,94.434465,140.230187,18.392046,190.931816,74.218684,25.661234,-39.687926,64.984037,143.372994,17.861525,62.322084,139.199745,-85.676695,83.494257,
4,98.495848,196.321201,1784.669661,179.943234,124.575192,1705.695580,181.701874,249.463309,1673.699570,27.215308,125.027786,1694.633983,28.241370,263.206714,1672.548108,105.359261,342.587391,1495.703746,93.832665,393.445711,1328.236553,115.934854,165.643928,1391.586328,113.498865,145.440901,1245.223617,244.809586,192.571546,1432.420821,251.042957,348.081123,1464.829217,344.804027,271.155627,1412.747015,384.694500,297.472771,1127.429057,276.655365,316.714673,1124.013557,366.548305,318.966628,1011.062589,343.358243,193.170431,928.978703,387.574194,271.027640,915.979823,369.309067,177.191925,859.265342,398.083933,231.430801,853.958300,319.997997,176.791901,824.008709,316.150164,176.970709,796.380018,350.534419,175.526111,768.850710,339.360714,182.419233,747.153279,376.100405,192.654171,794.191629,334.645651,210.488183,747.807043,362.348489,222.400570,771.220613,333.548745,230.302613,760.725397,371.743357,240.485462,780.692181,351.047413,243.627380,767.810430,-21.758387,168.003458,1426.799570,-39.285203,333.526973,1454.792215,-128.219421,232.937533,1409.978985,-182.352196,265.636928,1154.185661,-86.193940,319.010549,1133.085240,-190.374801,224.888527,1018.617236,-144.435995,162.197376,948.430316,-191.800954,216.970354,922.339874,-162.058935,132.702951,881.297594,-190.544768,191.188234,866.830255,-111.382507,122.236175,845.976456,-104.862781,116.830152,816.353574,-136.007352,116.511220,785.579608,-115.676477,127.022150,769.322795,-163.854293,138.551341,802.724816,-108.113346,163.056256,799.585726,-133.554406,169.161093,796.154948,-113.502143,177.623727,817.190823,-143.848556,188.159418,792.356477,-119.598456,192.497277,797.109627,270.195357,226.683383,964.721915,106.610183,110.774400,982.501500,-83.159904,174.850927,984.202664,236.768639,359.967414,973.442223,71.028125,403.168955,980.281697,-76.282744,319.931918,976.667968,256.383680,284.056246,731.723866,229.357368,256.497742,518.740262,69.833760,254.565259,521.934450,212.819579,281.234627,351.927892,152.162732,319.240353,112.019838,72.168781,388.960265,53.767268,197.626458,234.457078,37.426044,65.556528,198.971953,40.080382,139.739830,90.692181,40.477779,-24.457284,79.471391,741.186731,-27.360002,79.536502,564.665986,109.939825,160.592153,545.358777,-37.059379,83.172415,370.644001,-12.588383,95.148866,140.079699,17.549489,191.584446,73.870604,25.091574,-39.097175,65.112836,142.797825,18.638884,62.742666,138.669776,-84.913475,84.095327,
5,98.302436,196.972210,1784.766214,179.745827,125.122730,1705.872229,181.502042,249.977254,1673.709808,27.016272,125.559894,1694.819242,28.064992,263.695921,1672.554393,105.226681,342.800826,1495.678702,93.715404,393.615802,1328.196173,115.734461,165.830913,1391.601575,113.318788,145.582960,1245.244996,244.609298,192.722245,1432.424634,250.909296,348.232250,1464.806999,344.625379,271.269500,1412.724770,384.570427,297.421394,1127.407463,276.551368,316.766042,1123.983241,366.350733,319.043666,1011.120629,343.140385,193.177686,928.945247,387.437746,270.999257,915.953175,369.075929,177.173725,859.232949,397.989560,231.308008,853.951451,319.773348,176.838937,823.968893,315.907319,177.031718,796.351619,350.316206,175.530354,768.811494,339.169499,182.440905,747.133346,375.904757,192.642191,794.157505,334.442795,210.514762,747.792830,362.050509,222.427434,771.214687,333.565102,230.375413,760.679022,371.597376,240.463039,780.661871,350.916371,243.632970,767.761464,-21.960627,168.251073,1426.788492,-39.433760,333.788115,1454.744647,-128.393631,233.211270,1409.932258,-182.500049,265.860436,1154.115314,-86.282323,319.157299,1133.000781,-190.541805,225.119767,1018.540961,-144.678898,162.382900,948.360027,-191.930786,217.219717,922.267803,-162.337623,132.895906,881.240603,-190.758883,191.407579,866.764427,-111.690212,122.364619,845.913462,-105.174550,116.934732,816.295762,-136.345251,116.635465,785.499921,-115.995398,127.156387,769.279853,-164.149848,138.708680,802.652036,-108.463530,163.223251,799.957726,-133.815927,169.301416,796.107803,-113.729661,177.780307,817.100571,-144.065875,188.312115,792.282831,-119.831413,192.629501,796.986713,270.090282,226.722706,964.716175,106.462260,110.864692,982.513523,-83.284067,175.007492,984.200114,236.721518,360.007185,973.428332,71.001845,403.267819,980.260988,-76.354546,320.076918,976.672005,256.344208,284.132260,731.733503,229.316812,256.640148,518.739202,69.796209,254.746858,521.932480,212.793936,281.461932,351.916969,152.158692,319.264929,112.002105,72.168429,388.966545,53.751820,197.622797,234.462110,37.414173,65.563123,198.978867,40.033388,139.741167,90.697049,40.486156,-24.758722,79.677196,741.126727,-27.782306,79.861673,564.584390,109.552424,160.882261,545.256279,-37.518157,83.699183,370.559772,-13.413506,95.932344,139.919664,16.555424,192.203286,73.520423,24.523002,-38.445695,65.304845,142.168274,19.408028,63.191965,138.055579,-84.118079,84.741737,
6,98.108974,197.623649,1784.859966,179.546221,125.675025,1706.053391,181.317146,250.476624,1673.719524,26.818749,126.090946,1695.010504,27.834473,264.216479,1672.556899,105.096566,343.008864,1495.651962,93.610089,393.778604,1328.153337,115.537094,166.011022,1391.619413,113.135143,145.718760,1245.270526,244.416006,192.875976,1432.428167,250.774439,348.381361,1464.782227,344.458881,271.381683,1412.710087,384.505091,297.322121,1127.386885,276.452938,316.817263,1123.945120,366.167534,319.014582,1011.090153,342.929265,193.193545,928.914372,387.305332,270.962158,915.926201,368.839747,177.164252,859.199772,397.872180,231.209574,853.940217,319.539055,176.888946,823.931452,315.658814,177.075921,796.293230,350.069627,175.544887,768.768544,338.962335,182.453711,747.116236,375.706762,192.638912,794.123001,334.258291,210.542258,747.756069,361.998254,222.405015,771.169348,332.870694,229.961186,760.766341,371.440984,240.438783,780.632495,350.759076,243.654935,767.746403,-22.163508,168.500451,1426.781345,-39.565359,334.041077,1454.690054,-128.571604,233.486327,1409.887909,-182.615670,266.091673,1154.033169,-86.360253,319.297210,1132.919245,-190.702804,225.348781,1018.459836,-144.921178,162.568813,948.286840,-192.187698,217.372699,922.279491,-162.616407,133.098311,881.177111,-190.966690,191.634237,866.693105,-111.983356,122.495993,845.836942,-105.492044,117.092317,816.227491,-136.682843,116.773139,785.412271,-116.232115,127.300126,769.228863,-164.436287,138.878532,802.582124,-108.695748,163.347149,799.937697,-134.076024,169.456725,796.053222,-113.969936,177.969763,816.994905,-144.303606,188.489527,792.246378,-120.066176,192.769905,796.870341,270.082720,226.507551,964.769992,106.315559,110.946927,982.535177,-83.409787,175.160478,984.201001,236.683003,360.033988,973.422882,70.979596,403.361760,980.244625,-76.421138,320.217824,976.677506,256.304202,284.193670,731.745927,229.276856,256.778719,518.743848,69.748179,254.927417,521.927271,212.777609,281.643577,351.910515,152.155582,319.287213,111.978209,72.173411,388.973947,53.735941,197.739237,234.407538,37.446484,65.600871,198.967627,39.986920,139.736586,90.691989,40.494383,-25.061599,79.891785,741.065847,-28.203773,80.193396,564.505424,109.171158,161.161959,545.149728,-38.060580,84.250234,370.476285,-14.222395,96.784006,139.762633,15.771538,192.967962,73.118112,23.818629,-37.693583,65.594523,141.485499,20.209191,63.633894,137.306651,-83.311630,85.438574,
7,97.917095,198.279663,1784.946613,179.346745,126.236337,1706.234558,181.126686,250.978609,1673.736074,26.624404,126.628708,1695.204772,27.612007,264.737142,1672.564430,104.957106,343.221924,1495.625362,93.514720,393.935443,1328.109617,115.341962,166.187541,1391.640335,112.953975,145.846973,1245.299842,244.216213,193.036457,1432.432067,250.636751,348.535337,1464.757690,344.294696,271.494853,1412.701897,384.415288,297.243421,1127.368094,276.357931,316.867884,1123.907219,366.036735,318.982231,1011.058792,342.717125,193.212372,928.884152,387.179462,270.927089,915.908371,368.605780,177.161300,859.166307,397.742133,231.146421,853.925597,319.320479,176.937508,823.896660,315.421066,177.124668,796.247572,349.847317,175.580243,768.736057,338.756393,182.479935,747.093802,375.509068,192.647733,794.093622,334.114617,210.661957,747.622547,361.872577,222.393728,771.113911,333.242779,230.598917,760.077037,371.297093,240.416843,780.613160,350.626609,243.685130,767.720202,-22.364925,168.745847,1426.778737,-39.694696,334.290477,1454.634037,-128.755036,233.756948,1409.841832,-182.738435,266.313322,1153.959610,-86.439376,319.432812,1132.844559,-190.878602,225.576330,1018.379920,-145.154023,162.752392,948.207543,-192.334669,217.643313,922.175391,-162.893326,133.304301,881.106132,-191.179935,191.869566,866.622079,-112.276694,122.641815,845.757124,-105.800022,117.261823,816.146574,-137.017639,116.931331,785.321134,-116.573820,127.459261,769.160164,-164.765540,138.972359,802.437600,-108.954033,163.497005,800.070593,-134.368283,169.634937,795.970534,-114.389619,178.413058,816.674020,-144.540239,188.679883,792.186816,-120.313479,192.936590,796.750467,270.046854,226.373398,964.809332,106.161477,111.020943,982.559433,-83.540843,175.310492,984.201881,236.650122,360.058913,973.419273,70.962582,403.446707,980.235163,-76.487996,320.358688,976.687720,256.263797,284.248074,731.760857,229.232620,256.905375,518.751288,69.691530,255.102579,521.929517,212.764696,281.793625,351.911317,152.162468,319.310285,111.958521,72.181448,388.982399,53.720153,197.794087,234.381113,37.460607,65.618205,198.967977,39.933260,139.719582,90.691340,40.492469,-25.364916,80.112197,741.001789,-28.633269,80.536532,564.422671,108.776870,161.444937,545.030620,-38.828776,84.860811,370.405840,-15.065783,97.704069,139.611181,14.979825,193.796861,72.700587,23.056403,-36.885982,65.867469,140.754515,21.040780,64.070395,136.481773,-82.455493,86.151321,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,97.525174,199.602581,1785.116183,178.863372,127.378260,1706.581756,180.704617,252.021869,1673.773896,26.225378,127.706981,1695.586550,27.227696,265.745411,1672.597028,104.619816,343.719897,1495.596520,93.300143,394.267904,1328.023718,114.940116,166.547330,1391.698035,112.582494,146.112767,1245.374006,243.811965,193.377498,1432.457975,250.347776,348.867943,1464.720607,343.944593,271.743275,1412.711599,384.085067,297.205624,1127.340941,276.131806,316.995281,1123.857926,365.821580,318.950246,1011.027564,342.287537,193.257040,928.828970,386.918782,270.880000,915.893448,368.173233,177.168168,859.117330,397.438120,231.075331,853.900773,318.879503,177.052558,823.825142,314.975190,177.252736,796.198438,349.408696,175.656877,768.656731,338.407684,182.602707,747.082916,375.107173,192.647613,794.053531,333.793860,210.787439,747.456945,361.674475,222.431474,771.044172,333.265008,230.899047,759.719536,371.003728,240.387068,780.545957,350.386664,243.765897,767.652844,-22.777223,169.232578,1426.794178,-39.997031,334.795988,1454.528625,-129.116131,234.300973,1409.765270,-183.003430,266.712348,1153.836207,-86.612009,319.695330,1132.707995,-191.244011,226.024382,1018.231018,-145.639843,163.134248,948.030211,-192.686218,218.152955,922.001673,-163.452764,133.731299,880.937632,-191.628809,192.352037,866.473732,-112.856694,122.992056,845.565930,-106.405476,117.605553,815.955305,-137.676665,117.293760,785.134086,-117.229942,127.807175,768.955093,-165.358070,139.511022,802.195397,-109.475835,163.867201,800.160468,-134.915622,170.007697,795.850096,-114.816960,178.597606,816.599109,-145.043237,189.084544,792.000394,-120.804938,193.330226,796.525419,269.881087,226.265966,964.851935,105.861993,111.155665,982.630960,-83.815890,175.596095,984.209087,236.567465,360.089593,973.431237,70.902714,403.594513,980.233609,-76.634142,320.641102,976.716897,256.153165,284.330232,731.802423,229.108083,257.145885,518.781901,69.552792,255.470133,522.023472,212.714283,281.897393,351.949286,152.153832,319.360367,111.933752,72.189516,388.990213,53.695361,197.792009,234.406097,37.461775,65.603552,199.023532,39.899954,139.727423,90.686085,40.515199,-25.983988,80.554248,740.865493,-29.522170,81.264627,564.253427,107.901168,162.104837,544.785904,-40.275908,86.197234,370.250804,-16.840919,99.740568,139.359441,13.402619,195.735143,71.858001,21.254031,-35.083862,66.539560,139.087265,22.817184,64.818264,134.668456,-80.570595,87.617575,
10,97.325728,200.271500,1785.200905,178.634284,127.959736,1706.759674,180.468136,252.552251,1673.802623,26.025846,128.252160,1695.776366,26.988268,266.279731,1672.614430,104.457804,343.940881,1495.565881,93.175468,394.428794,1327.974509,114.732130,166.737266,1391.737587,112.389990,146.242656,1245.418840,243.609322,193.551897,1432.483317,250.192884,349.049642,1464.703279,343.756870,271.885965,1412.729419,383.907518,297.205359,1127.333570,276.006302,317.064545,1123.845675,365.843729,318.863377,1010.947133,342.084956,193.292685,928.807293,386.783189,270.871259,915.892327,367.969458,177.182530,859.092829,397.280019,231.060862,853.891103,318.665866,177.113526,823.785541,314.793150,177.370263,796.179322,349.198985,175.695299,768.622367,338.237847,182.654484,747.049708,374.914634,192.670364,794.038852,333.637347,210.857514,747.418118,361.318572,222.518417,771.035562,333.221560,231.143206,759.496719,370.864710,240.403296,780.537651,350.266823,243.786403,767.641191,-22.990465,169.473255,1426.810917,-40.157025,335.058393,1454.472703,-129.299153,234.572740,1409.738949,-183.110487,266.868060,1153.772269,-86.706968,319.831477,1132.654102,-191.429175,226.262573,1018.161770,-145.882708,163.331338,947.933021,-192.885869,218.407845,921.917970,-163.730030,133.959812,880.839971,-191.870244,192.608695,866.395059,-113.155586,123.189683,845.450128,-106.713663,117.832616,815.848329,-138.009113,117.508578,785.026485,-117.565935,127.962127,768.790326,-165.651813,139.819025,802.094892,-109.852493,164.114925,800.557010,-135.221463,170.244908,795.750824,-115.180129,178.921805,816.400689,-145.310509,189.322838,791.886191,-121.063201,193.569776,796.414563,269.768813,226.239180,964.875634,105.711459,111.204384,982.675021,-83.952894,175.728565,984.214055,236.516426,360.090368,973.446711,70.862439,403.659177,980.249399,-76.707257,320.770860,976.732958,256.082149,284.348945,731.826572,229.032332,257.252639,518.797984,69.484632,255.613368,522.064285,212.689107,281.943744,351.967560,152.146954,319.384648,111.920535,72.184973,388.993727,53.684136,197.754124,234.429868,37.448941,65.596180,199.041063,39.876532,139.732784,90.691732,40.521241,-26.290871,80.790091,740.795815,-29.979637,81.645973,564.156582,107.445633,162.438166,544.665661,-41.014466,86.946304,370.153410,-17.775529,100.875658,139.251725,12.521772,196.775970,71.446121,20.647098,-34.014422,66.469654,138.151282,23.757355,65.165733,133.608510,-79.520642,88.345252,
